lon,lat,magt_2010,magt_2023,dmagt,alt_2010,alt_2023,dalt
71.24987675993985,54.9993532702177,4.7079477,4.80819,0.10024214,4.8068542,4.3176227,-0.4892316
71.50140503949332,54.9993532702177,4.665105,4.726136,0.06103134,3.701658,4.1300745,0.4284165
71.75293331904679,54.9993532702177,4.586221,4.9915705,0.40534925,5.2935386,5.5700374,0.2764988
72.00446159860024,54.9993532702177,4.787367,4.665668,-0.12169886,5.790686,5.9193354,0.12864923
72.24700672531252,54.9993532702177,4.852395,5.067529,0.21513414,5.015926,5.978688,0.9627619
72.49853500486599,54.9993532702177,4.3233323,4.9572005,0.6338682,5.609976,6.140211,0.5302353
72.75006328441945,54.9993532702177,4.107357,4.645352,0.53799486,5.238477,5.614093,0.3756156
73.00159156397292,54.9993532702177,4.3412514,4.786341,0.44508982,5.668285,5.847891,0.17960596
73.25311984352638,54.9993532702177,4.368728,4.238478,-0.13024998,4.8995347,5.4452767,0.54574203
73.49566497023865,54.9993532702177,5.022472,4.668802,-0.35367012,5.1638694,5.4758244,0.31195498
73.74719324979212,54.9993532702177,4.9997706,4.902544,-0.09722662,4.936767,5.9195557,0.98278856
73.99872152934559,54.9993532702177,4.7424836,4.862725,0.120241165,5.6544337,6.052438,0.39800406
74.25024980889906,54.9993532702177,4.2454343,4.820437,0.5750027,3.9650178,5.468988,1.5039701
74.50177808845253,54.9993532702177,4.5795207,4.9394045,0.3598838,4.246631,5.883094,1.6364627
74.75330636800598,54.9993532702177,4.303009,5.089605,0.7865958,5.594454,5.9185576,0.32410383
74.99585149471825,54.9993532702177,4.32687,5.0980577,0.7711878,5.737492,5.780481,0.042988777
75.24737977427172,54.9993532702177,4.4830275,4.3544273,-0.12860012,5.643669,5.764177,0.12050772
75.49890805382519,54.9993532702177,4.3044,4.7066174,0.4022174,5.5301847,5.3228974,-0.20728731
75.75043633337866,54.9993532702177,4.261434,4.6582904,0.3968563,5.3322744,5.32955,-0.0027246475
76.00196461293211,54.9993532702177,4.097086,4.399533,0.30244684,4.8138146,5.104695,0.2908802
76.25349289248558,54.9993532702177,4.49572,4.4777756,-0.017944336,5.0415673,5.6748886,0.6333213
76.49603801919785,54.9993532702177,4.59885,4.693277,0.09442711,5.2497597,5.1680884,-0.08167124
76.74756629875132,54.9993532702177,3.7685444,4.1352673,0.36672282,5.241951,5.0812507,-0.16070032
76.99909457830479,54.9993532702177,4.1908183,4.3846383,0.19382,5.0650096,5.1085725,0.04356289
77.25062285785826,54.9993532702177,4.158251,4.50766,0.3494091,5.4104414,5.5134277,0.102986336
78.24775282323093,54.9993532702177,4.213976,4.4058743,0.19189835,5.093912,5.292847,0.19893503
78.75080938233785,54.9993532702177,3.9316554,4.28099,0.34933472,5.0492225,5.1444087,0.09518623
79.00233766189132,54.9993532702177,4.2214417,4.2646594,0.04321766,4.9478655,5.542217,0.5943513
79.25386594144479,54.9993532702177,4.562041,4.7235537,0.16151285,5.032744,4.980974,-0.051769733
79.49641106815706,54.9993532702177,4.1119537,4.4464664,0.3345127,5.3382654,5.1863155,-0.15194988
79.74793934771053,54.9993532702177,4.1297703,4.7331314,0.6033611,4.891986,5.311398,0.41941214
79.999467627264,54.9993532702177,4.3389835,4.3091974,-0.02978611,5.068445,4.8566704,-0.21177483
79.999467627264,54.9993532702177,4.3389835,4.3091974,-0.02978611,5.068445,4.8566704,-0.21177483
54.9993532702177,55.25088154977117,3.818396,3.6298997,-0.18849635,4.574095,4.6018844,0.027789593
54.9993532702177,55.25088154977117,3.818396,3.6298997,-0.18849635,4.574095,4.6018844,0.027789593
55.25088154977117,55.25088154977117,4.3721676,4.28106,-0.09110737,5.38199,5.577031,0.19504118
55.50240982932464,55.25088154977117,3.8049233,4.124623,0.31969953,5.1300735,5.0076966,-0.12237692
55.7539381088781,55.25088154977117,4.2007613,4.134542,-0.06621933,4.323244,4.8021445,0.47890043
55.996483235590375,55.25088154977117,3.8174224,4.1402073,0.3227849,4.6505504,4.991188,0.34063768
56.248011515143844,55.25088154977117,3.8559954,3.9703624,0.11436701,4.9909863,4.6931286,-0.29785776
56.499539794697306,55.25088154977117,3.8347108,3.8874211,0.052710295,4.8148255,4.742757,-0.07206869
56.751068074250774,55.25088154977117,3.7714252,3.57821,-0.19321513,4.9793415,4.7319913,-0.24735022
57.002596353804236,55.25088154977117,3.6157246,3.419287,-0.1964376,4.875753,4.63395,-0.24180269
57.254124633357705,55.25088154977117,3.1397262,2.9123275,-0.22739863,4.896459,4.665622,-0.23083687
57.49666976006998,55.25088154977117,3.6846094,3.5471404,-0.13746905,5.2930903,5.1559014,-0.13718891
57.74819803962344,55.25088154977117,3.6464517,3.5011532,-0.14529848,4.942323,4.964897,0.022573948
57.99972631917691,55.25088154977117,3.9557714,4.0621324,0.10636091,5.3536835,5.2706046,-0.08307886
58.25125459873038,55.25088154977117,3.9933386,4.1071115,0.11377287,5.7785225,5.857667,0.07914448
58.50278287828384,55.25088154977117,4.2396326,4.305987,0.066354275,4.6249223,4.939932,0.3150096
58.75431115783731,55.25088154977117,3.993421,4.0265756,0.033154488,5.629744,5.6913357,0.061591625
58.99685628454958,55.25088154977117,3.7779605,3.693589,-0.08437157,4.8630657,4.832385,-0.030680656
59.24838456410304,55.25088154977117,3.2647038,3.293902,0.02919817,4.7589755,4.7443514,-0.014624119
59.49991284365651,55.25088154977117,3.896516,3.8901932,-0.0063228607,4.778895,4.916789,0.13789415
59.75144112320997,55.25088154977117,3.0950298,3.0161378,-0.07889199,4.734256,4.6849446,-0.04931116
60.00296940276344,55.25088154977117,3.2379432,3.1212857,-0.116657495,4.6437974,4.593326,-0.050471306
60.24551452947571,55.25088154977117,3.222534,3.2088315,-0.013702393,4.8984265,4.924674,0.026247501
60.497042809029175,55.25088154977117,3.8381577,4.05051,0.21235228,4.754475,4.6595016,-0.094973564
60.74857108858264,55.25088154977117,3.6150079,3.7227752,0.10776734,4.8156323,4.973171,0.15753889
61.00009936813611,55.25088154977117,3.3338337,3.8701715,0.53633785,4.4696884,5.0368147,0.5671263
61.251627647689574,55.25088154977117,4.209481,4.3322563,0.122775555,4.8319936,4.6345053,-0.19748831
61.50315592724304,55.25088154977117,4.4468417,4.439509,-0.007332802,3.1066086,3.7618213,0.65521264
61.745701053955315,55.25088154977117,4.451269,4.64307,0.19180107,4.558226,5.2371473,0.6789212
61.99722933350878,55.25088154977117,4.6619735,4.591948,-0.070025444,5.0781198,5.2326,0.15448046
62.248757613062246,55.25088154977117,4.664205,4.3513813,-0.31282377,4.6490293,4.6718245,0.0227952
62.50028589261571,55.25088154977117,4.2650414,4.290885,0.02584362,4.722442,4.9623003,0.23985815
62.751814172169176,55.25088154977117,4.7066784,4.907146,0.20046759,4.983169,5.3299694,0.34680033
63.003342451722645,55.25088154977117,4.361832,4.5117483,0.14991617,4.0757217,5.1093082,1.0335865
63.24588757843491,55.25088154977117,4.0132837,4.7280912,0.7148075,5.113119,5.629142,0.5160227
63.49741585798838,55.25088154977117,4.4842386,4.7308655,0.24662685,5.5589433,5.8565173,0.29757404
63.74894413754185,55.25088154977117,4.4588547,4.494236,0.035381317,5.106087,5.226858,0.12077093
64.00047241709531,55.25088154977117,4.3804216,4.773249,0.3928275,5.7352757,5.809987,0.07471132
64.25200069664878,55.25088154977117,4.5143843,4.605821,0.09143686,5.7581716,5.498349,-0.25982237
