lon,lat,trend,dmagt,magt_mean
100.49902241087148,71.50140503949332,0.23092654988733477,3.0253181,-5.3749447
100.49902241087148,71.75293331904679,0.06869746703135203,0.5633073,-5.4060035
100.49902241087148,72.00446159860024,0.19327105992955468,2.5934572,-7.435067
100.49902241087148,72.24700672531252,0.1035876793197377,1.3746886,-7.161042
100.49902241087148,72.49853500486599,0.16926217380956834,2.0671024,-8.921824
100.49902241087148,72.75006328441945,0.12399581716029405,1.7327309,-9.07049
100.75055069042494,54.9993532702177,0.001760981354532823,-0.0061585903,2.7990036
100.75055069042494,55.25088154977117,0.0005014208298699662,-0.09789252,3.4702613
100.75055069042494,55.50240982932464,-0.020986182176611384,-0.37494278,3.3646235
100.75055069042494,55.7539381088781,-0.018468157249158696,-0.28483582,3.2683306
100.75055069042494,55.996483235590375,-0.01162422337109269,-0.24136877,3.151672
100.75055069042494,56.248011515143844,0.0030515821674211587,-0.005179882,3.0805204
100.75055069042494,56.499539794697306,0.01060522900352046,0.034303904,2.8287535
100.75055069042494,56.751068074250774,0.0003361611426638705,0.02161932,3.0404916
100.75055069042494,57.002596353804236,0.004406625409669954,0.073661566,3.2271
100.75055069042494,57.254124633357705,0.009153136724158191,0.13931441,3.3941398
100.75055069042494,57.49666976006998,0.028084393996224994,0.41832066,3.295618
100.75055069042494,57.74819803962344,0.014511611190022798,0.192765,3.2845614
100.75055069042494,57.99972631917691,0.02379648232761693,0.3414235,3.1238468
100.75055069042494,58.25125459873038,0.03802269319944526,0.4526112,2.99361
100.75055069042494,58.50278287828384,0.03754534781733421,0.4558978,2.8909712
100.75055069042494,58.75431115783731,0.04393609083151274,0.48005915,2.7760458
100.75055069042494,58.99685628454958,0.035609655742401915,0.35876822,2.6649966
100.75055069042494,59.24838456410304,0.03197137494630286,0.28343272,2.8122206
100.75055069042494,59.49991284365651,0.018092528475990147,0.06329155,2.724702
100.75055069042494,59.75144112320997,0.018133628821070173,0.12597752,2.3517132
100.75055069042494,60.00296940276344,0.014601543885242471,0.108003855,2.2857003
100.75055069042494,60.24551452947571,0.03557953110223859,0.32240725,2.3288364
100.75055069042494,60.497042809029175,-0.00016203469867767897,-0.16590261,1.6913329
100.75055069042494,60.74857108858264,0.045742532874962,0.5564735,1.6738105
100.75055069042494,61.00009936813611,0.009739942792097,-0.0073429346,1.3167739
100.75055069042494,61.251627647689574,0.017805804481989075,-0.025447726,1.1355629
100.75055069042494,61.50315592724304,0.008138544800916388,-0.013348043,1.170117
100.75055069042494,61.745701053955315,0.03299973886224002,0.37911898,0.81736887
100.75055069042494,61.99722933350878,0.02306023036377232,0.26462615,0.8513994
100.75055069042494,62.248757613062246,0.057556011424030655,0.7194051,0.60650116
100.75055069042494,62.50028589261571,0.04170173112349825,0.58699346,0.62948906
100.75055069042494,62.751814172169176,0.05764910599475742,0.84362084,0.5561658
100.75055069042494,63.003342451722645,0.04271274195818738,0.63544834,0.6018446
100.75055069042494,63.24588757843491,0.034293176365801564,0.52602947,0.24478579
100.75055069042494,63.49741585798838,0.029350197805632073,0.35374796,-0.15977627
100.75055069042494,63.74894413754185,0.05709620534996022,0.7872488,-0.14794916
100.75055069042494,64.00047241709531,0.08926527145542042,1.1300329,-0.6716931
100.75055069042494,64.25200069664878,0.06628726013475868,0.92380136,-0.40479738
100.75055069042494,64.50352897620225,0.11372635399780406,1.5942675,-0.66119766
100.75055069042494,64.74607410291452,0.1431502409750799,1.8971035,-0.5593115
100.75055069042494,64.99760238246797,0.06436994543557913,0.90334165,-0.75084484
100.75055069042494,65.24913066202144,0.07169467557834201,0.92065954,-0.8466978
100.75055069042494,65.50065894157491,0.12528180683714546,1.6719254,-1.8978959
100.75055069042494,65.75218722112838,0.05789368001720242,0.7994977,-1.5209213
100.75055069042494,66.00371550068185,0.096473467500899,1.4510019,-2.4852405
100.75055069042494,66.24626062739412,0.06823012798646957,1.1758218,-3.7228227
100.75055069042494,66.49778890694758,0.08333335405663182,0.89214087,-3.1663342
100.75055069042494,66.74931718650105,0.08162787835808695,1.0442085,-2.6566753
100.75055069042494,67.00084546605451,0.04993276113196074,0.5538931,-3.7791975
100.75055069042494,67.25237374560798,0.12461145376856665,1.4726293,-3.5679119
100.75055069042494,67.50390202516145,0.15201757769040652,1.5070276,-4.3454947
100.75055069042494,67.74644715187371,0.17175596997706474,2.473934,-4.131732
100.75055069042494,67.99797543142718,0.17239098247092513,2.107233,-5.3707943
100.75055069042494,68.24950371098065,0.20148230081870777,2.3525882,-4.872282
100.75055069042494,68.50103199053412,0.12523119600512514,1.7696834,-5.064776
100.75055069042494,68.75256027008759,0.0848652091207316,1.3548474,-7.0943613
100.75055069042494,69.00408854964105,0.06450270882135346,0.7365136,-6.972525
100.75055069042494,69.24663367635331,0.16777598827698675,2.292869,-7.3232093
100.75055069042494,69.49816195590678,0.1319486014450574,1.7621765,-8.3733015
100.75055069042494,69.74969023546025,0.08214926297150944,1.2544341,-7.8731585
100.75055069042494,70.00121851501372,0.19276241230057492,2.6674018,-8.551679
100.75055069042494,70.25274679456719,0.1348274737973628,2.1590958,-8.113353
100.75055069042494,70.50427507412064,0.14162291876876107,2.5422378,-6.781889
100.75055069042494,70.74682020083291,0.14417529136318438,2.036211,-3.0208862
100.75055069042494,70.99834848038638,0.024893750420093567,0.21656418,-2.6124718
100.75055069042494,71.24987675993985,0.19618198871610698,2.518979,-3.5499034
100.75055069042494,71.50140503949332,0.19734754924530912,2.2649975,-5.2050037
100.75055069042494,71.75293331904679,0.16358219822749306,1.8823934,-5.300137
100.75055069042494,72.00446159860024,0.15568043068993306,2.106934,-7.3232303
100.75055069042494,72.24700672531252,0.11952695484401846,1.4636073,-8.214041
100.75055069042494,72.49853500486599,0.1556149470655101,1.9984379,-8.678071
100.75055069042494,72.75006328441945,0.11370197730727472,1.561368,-8.774985
101.0020789699784,54.9993532702177,-0.020570389832120534,-0.3124647,2.9383514
101.0020789699784,55.25088154977117,-0.020374687412115133,-0.20242834,3.0132883
101.0020789699784,55.50240982932464,-0.02842468068569211,-0.4226365,2.8118403
101.0020789699784,55.7539381088781,-0.02722348563278484,-0.35309696,3.1345983
101.0020789699784,55.996483235590375,-0.03615010237391592,-0.5750239,2.9005454
101.0020789699784,56.248011515143844,-0.00431963099708893,-0.06862855,3.1404176
101.0020789699784,56.499539794697306,-0.0005853296835201144,1.66893e-05,2.9848187
101.0020789699784,56.751068074250774,0.011678900899766548,0.118510485,3.0997906
101.0020789699784,57.002596353804236,0.012052146090736944,0.1380992,3.128524
101.0020789699784,57.254124633357705,0.01734915624690887,0.23772979,3.1713407
101.0020789699784,57.49666976006998,0.009443606606012536,0.13089013,3.295042
101.0020789699784,57.74819803962344,0.003405921066863902,0.09756303,3.199498
101.0020789699784,57.99972631917691,0.027377620528014665,0.36688185,3.0542455
101.0020789699784,58.25125459873038,0.04656025367446802,0.59300184,2.9073215
101.0020789699784,58.50278287828384,0.03914013090012698,0.475384,2.9101403
101.0020789699784,58.75431115783731,0.03170245568963329,0.33009124,2.7681904
101.0020789699784,58.99685628454958,0.024069586283042396,0.23532295,2.742687
101.0020789699784,59.24838456410304,0.021943001807489454,0.16898274,2.6338315
101.0020789699784,59.49991284365651,0.014017353782170531,0.054555178,2.7146227
