lon,lat,pred_magt,pred_class,pred_alt
51.49592366215157,54.9993532702177,4.0373335,0,3.4768834
51.74745194170504,54.9993532702177,4.263977,0,3.1931317
51.998980221258506,54.9993532702177,3.7696755,0,4.5401907
52.25050850081197,54.9993532702177,3.7252328,0,3.2901711
52.50203678036544,54.9993532702177,3.997845,0,3.630669
52.753565059918905,54.9993532702177,3.6256037,0,4.7719426
52.99611018663117,54.9993532702177,3.9211133,0,3.5677254
53.24763846618464,54.9993532702177,4.0380874,0,3.739697
53.49916674573811,54.9993532702177,3.83507,0,2.6438792
53.75069502529157,54.9993532702177,3.9184952,0,3.5750277
54.00222330484504,54.9993532702177,3.6550605,0,4.9577785
54.2537515843985,54.9993532702177,3.715329,0,2.8660662
54.49629671111077,54.9993532702177,4.06376,0,3.4647748
54.74782499066424,54.9993532702177,3.9957962,0,3.586993
54.9993532702177,54.9993532702177,4.006986,0,3.6364043
55.25088154977117,54.9993532702177,3.955704,0,5.149102
55.50240982932464,54.9993532702177,4.190676,0,3.6459222
55.7539381088781,54.9993532702177,4.4204707,0,3.638818
55.996483235590375,54.9993532702177,3.7603788,0,4.0236974
56.24801151514384,54.9993532702177,4.0294833,0,
56.499539794697306,54.9993532702177,4.324795,0,2.9473672
56.751068074250774,54.9993532702177,3.749851,0,4.4463234
57.00259635380424,54.9993532702177,3.9350417,0,
57.254124633357705,54.9993532702177,3.7730062,0,3.018143
57.49666976006998,54.9993532702177,3.2326715,0,4.8538847
57.74819803962344,54.9993532702177,3.6056912,0,4.6585245
57.99972631917691,54.9993532702177,4.1391625,0,3.7284617
58.25125459873038,54.9993532702177,3.8700955,0,3.1949165
58.50278287828384,54.9993532702177,4.0334277,0,5.1327486
58.75431115783731,54.9993532702177,3.08455,0,4.562569
58.99685628454958,54.9993532702177,3.2165473,0,3.426541
59.24838456410304,54.9993532702177,2.9375987,0,3.6485996
59.49991284365651,54.9993532702177,3.0351114,0,4.51177
59.75144112320997,54.9993532702177,3.4881926,0,3.941705
60.00296940276344,54.9993532702177,3.476411,0,3.1571896
60.24551452947571,54.9993532702177,3.6647565,0,3.2627616
60.497042809029175,54.9993532702177,4.0231676,0,3.2714539
60.74857108858264,54.9993532702177,3.9828725,0,4.0508986
61.00009936813611,54.9993532702177,4.48143,0,5.338918
61.251627647689574,54.9993532702177,4.0962043,0,5.366798
61.50315592724304,54.9993532702177,4.166441,0,3.7033865
61.745701053955315,54.9993532702177,4.254055,0,2.91334
