lon,lat,magt_2021,magt_2030,magt_2050,change_2030,change_2050
129.49663978224962,66.74931718650105,-8.565896,-8.241029,-6.7251873,0.32486725,1.8407087
129.74816806180309,66.74931718650105,-8.711968,-8.157675,-6.804824,0.55429363,1.9071445
129.99969634135655,66.74931718650105,-8.298589,-7.672122,-6.4912233,0.62646675,1.8073654
130.25122462091002,66.74931718650105,-8.304343,-7.7984524,-6.7476115,0.50589085,1.5567317
130.5027529004635,66.74931718650105,-7.9835143,-7.6763263,-6.5756645,0.30718803,1.4078498
130.75428118001696,66.74931718650105,-8.650894,-7.7380657,-7.0697255,0.91282845,1.5811687
130.99682630672922,66.74931718650105,-8.138342,-7.673198,-7.021668,0.46514368,1.116674
131.2483545862827,66.74931718650105,-8.102183,-7.446198,-7.478473,0.65598536,0.62371016
131.49988286583616,66.74931718650105,-7.0214887,-6.3955894,-6.2418027,0.6258993,0.779686
131.75141114538962,66.74931718650105,-7.0384793,-6.318997,-6.0720363,0.7194824,0.96644306
132.0029394249431,66.74931718650105,-7.302521,-6.712402,-6.630481,0.59011936,0.67204046
132.25446770449656,66.74931718650105,-7.3168693,-6.69528,-6.5323696,0.6215892,0.78449965
132.49701283120882,66.74931718650105,-7.2263613,-6.8393283,-6.7410326,0.387033,0.48532867
132.7485411107623,66.74931718650105,-7.014297,-6.576869,-6.6725626,0.437428,0.3417344
133.00006939031576,66.74931718650105,-7.356036,-6.946274,-7.5470204,0.40976238,-0.19098425
133.25159766986923,66.74931718650105,-7.4499254,-7.2944713,-7.884733,0.15545416,-0.43480778
133.5031259494227,66.74931718650105,-7.7729673,-7.8424544,-8.826443,-0.069487095,-1.0534754
133.74567107613495,66.74931718650105,-6.883006,-6.730503,-6.8434367,0.15250301,0.039569378
133.99719935568842,66.74931718650105,-7.165041,-6.7276783,-6.6841197,0.43736267,0.48092127
134.2487276352419,66.74931718650105,-7.26006,-6.7240396,-6.691962,0.5360203,0.56809807
134.50025591479536,66.74931718650105,-7.327831,-6.8583684,-6.9053297,0.4694624,0.4225011
134.75178419434883,66.74931718650105,-8.143232,-7.328577,-7.317758,0.8146553,0.82547426
135.0033124739023,66.74931718650105,-8.706781,-7.913854,-7.557188,0.79292727,1.1495934
135.24585760061456,66.74931718650105,-10.100015,-9.582176,-8.487385,0.5178385,1.6126299
135.49738588016803,66.74931718650105,-9.29111,-8.228656,-7.33625,1.0624542,1.9548602
135.7489141597215,66.74931718650105,-9.352074,-8.551057,-7.635445,0.8010168,1.7166286
136.00044243927496,66.74931718650105,-8.9555025,-7.980837,-7.472085,0.97466564,1.4834175
136.25197071882843,66.74931718650105,-7.517345,-6.810058,-6.4263544,0.70728683,1.0909905
136.5034989983819,66.74931718650105,-7.701419,-7.149302,-6.805269,0.5521169,0.8961501
136.74604412509416,66.74931718650105,-7.0553937,-6.396757,-5.7974854,0.65863657,1.2579083
136.99757240464763,66.74931718650105,-7.921651,-6.9776144,-6.669124,0.9440365,1.2525268
137.2491006842011,66.74931718650105,-6.841626,-5.9714084,-5.7369127,0.8702178,1.1047134
137.50062896375456,66.74931718650105,-7.791609,-7.12551,-6.457745,0.6660986,1.3338637
137.75215724330803,66.74931718650105,-7.808747,-7.034135,-6.448928,0.77461195,1.3598189
138.0036855228615,66.74931718650105,-6.5202103,-5.794696,-5.2782407,0.7255144,1.2419696
138.24623064957376,66.74931718650105,-7.892067,-7.2974863,-6.023168,0.59458065,1.8688989
138.49775892912723,66.74931718650105,-5.4519653,-5.2248464,-5.0310054,0.22711897,0.42095995
138.7492872086807,66.74931718650105,-8.111772,-7.242584,-7.1401896,0.86918736,0.97158194
139.00081548823417,66.74931718650105,-8.457307,-7.8589873,-7.528409,0.59831953,0.92889786
139.25234376778764,66.74931718650105,-10.627094,-9.54372,-9.751894,1.083374,0.8752003
139.5038720473411,66.74931718650105,-10.353901,-9.422907,-8.707589,0.93099403,1.6463118
139.74641717405336,66.74931718650105,-10.68987,-10.280593,-9.040356,0.40927696,1.6495142
139.99794545360683,66.74931718650105,-11.742628,-11.5804615,-10.712047,0.1621666,1.0305815
140.2494737331603,66.74931718650105,-11.574975,-11.284255,-10.750863,0.29072,0.82411194
140.50100201271377,66.74931718650105,-8.8586645,-8.417914,-7.8720484,0.44075012,0.98661613
140.75253029226724,66.74931718650105,-8.253959,-7.9593606,-7.5694065,0.2945981,0.6845522
141.0040585718207,66.74931718650105,-6.754363,-6.241297,-5.984995,0.5130663,0.7693682
141.24660369853297,66.74931718650105,-6.277637,-6.0629625,-5.365259,0.21467447,0.91237783
141.49813197808643,66.74931718650105,-6.5519247,-6.2823296,-5.5230484,0.26959515,1.0288763
141.7496602576399,66.74931718650105,-6.0086603,-5.480992,-5.2512927,0.5276685,0.7573676
142.00118853719337,66.74931718650105,-6.296047,-6.036048,-6.140461,0.25999928,0.15558624
142.25271681674684,66.74931718650105,-6.3571897,-6.1772275,-6.2214103,0.17996216,0.13577938
142.5042450963003,66.74931718650105,-6.361707,-6.4195657,-6.5942035,-0.057858467,-0.23249626
142.74679022301257,66.74931718650105,-5.0736866,-4.946615,-4.538741,0.12707138,0.5349455
142.99831850256604,66.74931718650105,-6.2653236,-6.4108076,-6.1173983,-0.14548397,0.14792538
143.2498467821195,66.74931718650105,-6.1642604,-6.21405,-5.858915,-0.04978943,0.30534554
143.50137506167297,66.74931718650105,-6.5196414,-6.65696,-6.528935,-0.13731861,-0.009293556
143.75290334122644,66.74931718650105,-6.465367,-6.4773803,-6.328482,-0.012013435,0.13688469
144.0044316207799,66.74931718650105,-8.925688,-8.50554,-8.472069,0.4201479,0.453619
144.24697674749217,66.74931718650105,-7.3290353,-7.1498427,-7.057289,0.17919254,0.27174616
144.49850502704564,66.74931718650105,-9.588548,-8.874213,-8.649735,0.7143345,0.93881226
144.7500333065991,66.74931718650105,-7.170466,-6.355943,-6.169048,0.81452274,1.0014181
145.00156158615258,66.74931718650105,-6.65312,-6.465936,-6.1167417,0.18718386,0.5363784
145.25308986570604,66.74931718650105,-7.397781,-6.6429577,-6.5506454,0.7548232,0.84713554
145.4956349924183,66.74931718650105,-4.1433887,-4.0404086,-3.832004,0.10298014,0.31138468
145.74716327197177,66.74931718650105,-3.6732605,-3.955425,-3.4672508,-0.28216457,0.20600963
145.99869155152524,66.74931718650105,-2.9916675,-2.9205692,-2.5393193,0.07109833,0.45234823
146.2502198310787,66.74931718650105,-2.6957066,-2.6255753,-2.525695,0.0701313,0.17001152
146.50174811063218,66.74931718650105,-2.3323164,-2.353532,-2.3326087,-0.021215677,-0.00029230118
146.75327639018565,66.74931718650105,-3.2827208,-2.7374399,-2.658344,0.54528093,0.6243768
146.9958215168979,66.74931718650105,-2.7631478,-2.456515,-2.2515717,0.30663276,0.5115762
147.24734979645137,66.74931718650105,-3.1452131,-2.892211,-2.2474384,0.25300217,0.8977747
147.49887807600484,66.74931718650105,-3.2341862,-3.0712154,-2.7000868,0.16297078,0.53409934
147.7504063555583,66.74931718650105,-3.244055,-3.2050478,-2.7022328,0.039007187,0.5418222
148.00193463511178,66.74931718650105,-3.5912924,-3.244317,-2.8542664,0.34697533,0.737026
148.25346291466525,66.74931718650105,-3.2044802,-2.8934057,-2.5233207,0.3110745,0.6811595
148.4960080413775,66.74931718650105,-3.1326368,-3.0622807,-2.819257,0.07035613,0.31337976
148.74753632093098,66.74931718650105,-3.2158556,-3.0050266,-2.761476,0.21082902,0.45437956
148.99906460048445,66.74931718650105,-2.6683056,-2.548491,-2.4955533,0.119814634,0.17275238
149.2505928800379,66.74931718650105,-2.7727845,-2.528745,-2.610231,0.24403954,0.16255355
149.50212115959138,66.74931718650105,-2.9591687,-2.4821842,-2.4146671,0.4769845,0.54450154
149.75364943914485,66.74931718650105,-2.957436,-2.4814327,-2.4517558,0.4760034,0.5056803
149.9961945658571,66.74931718650105,-2.617277,-2.2412298,-2.0803785,0.37604713,0.5368984
150.24772284541058,66.74931718650105,-2.5459917,-2.41796,-2.1994622,0.12803173,0.34652948
150.49925112496405,66.74931718650105,-2.8656912,-2.4507267,-2.582312,0.41496444,0.28337908
150.75077940451752,66.74931718650105,-2.6943245,-2.4779544,-2.442886,0.2163701,0.25143838
