lon,lat,pred_magt,pred_alt,zone,vulnerability,magt_2030,magt_2050,change_2050,trend
42.74633279482743,54.9993532702177,3.581946,4.611184,0,,4.426661,4.426661,0.0,-0.0096915515663959
42.9978610743809,54.9993532702177,3.4893668,4.684379,0,,4.2282224,4.2282224,0.0,-0.014056462717818
43.24938935393436,54.9993532702177,3.688246,4.7565618,0,,4.370637,4.370637,-0.05931568,-0.0098644263138756
43.50091763348783,54.9993532702177,3.556726,3.8671374,0,,4.704318,4.704318,-0.03918791,-0.0130497825500336
43.7524459130413,54.9993532702177,3.5779033,3.8619742,0,,4.2097173,4.2097173,-0.03644848,-0.0267414476560479
44.00397419259476,54.9993532702177,3.6519883,4.471617,0,,4.1007204,4.1007204,-0.08989143,-0.0159654639132759
44.24651931930703,54.9993532702177,3.8872316,4.7070155,0,,4.7740655,4.7461414,-0.02792406,-0.0148843976943934
44.4980475988605,54.9993532702177,3.951414,3.8192766,0,,4.4623933,4.4623933,0.0,-0.0137935666797891
44.74957587841397,54.9993532702177,3.959703,,0,,4.854457,4.854457,0.0,-0.0145104427905038
45.00110415796743,54.9993532702177,3.9735646,3.9259691,0,,4.741226,4.741226,0.0,-0.0148082701510626
45.252632437520894,54.9993532702177,4.3292193,3.9513617,0,,4.992713,4.992713,0.0,-0.0157782622278419
45.50416071707436,54.9993532702177,3.778343,4.6429543,0,,4.5804267,4.5804267,0.0,-0.013516479007711
45.74670584378664,54.9993532702177,3.864973,,0,,4.6435585,4.6435585,0.0,-0.0256609829394153
45.9982341233401,54.9993532702177,3.9227085,3.5567238,0,,4.9242597,4.9242597,0.0,-0.0190242389792433
46.249762402893566,54.9993532702177,4.2436156,2.8727918,0,,4.866165,4.866165,0.0,-0.0174951880692899
46.501290682447035,54.9993532702177,3.9353056,3.5275795,0,,4.997946,4.997946,0.0,-0.0180685067340488
46.7528189620005,54.9993532702177,3.8643534,4.864586,0,,4.4836273,4.4836273,-0.08426857,-0.0077000357193562
47.004347241553965,54.9993532702177,3.5308778,3.8940682,0,,4.4469647,4.433896,-0.06114912,-0.0031747639736278
47.24689236826624,54.9993532702177,3.5580475,4.917286,0,,4.2669325,4.2669325,0.0,-0.0119980047169198
47.4984206478197,54.9993532702177,3.7870939,4.8834743,0,,4.556871,4.556871,0.0,-0.0069202411092916
47.74994892737317,54.9993532702177,4.1368446,3.5126884,0,,4.899799,4.899799,-0.009128571,-0.0071211717767074
48.00147720692663,54.9993532702177,4.200132,4.514855,0,,4.5175047,4.5175047,0.0,-0.0199705239564373
48.2530054864801,54.9993532702177,4.2823772,4.0587306,0,,4.7520976,4.7520976,0.0,-0.0066868571449449
48.49555061319237,54.9993532702177,3.8539586,2.7434618,0,,4.9210014,4.9210014,-0.03901577,-0.0258752093980725
48.74707889274583,54.9993532702177,3.9761088,2.75945,0,,4.876898,4.876898,0.0,-0.0100682452832517
48.9986071722993,54.9993532702177,3.5105708,4.9009304,0,,4.5348873,4.5348873,-0.03644848,0.0042691268964589
49.25013545185277,54.9993532702177,3.705441,5.005674,0,,4.5022354,4.5022354,0.0,-0.0148815197584508
49.50166373140623,54.9993532702177,4.2986126,3.5966473,0,,4.8890033,4.8890033,0.0,0.0056949818434389
49.7531920109597,54.9993532702177,4.334214,3.7705162,0,,5.1990304,5.1990304,0.0,0.0029876979592186
49.99573713767197,54.9993532702177,4.002552,3.2984095,0,,4.8983502,4.8983502,0.0,0.0008733823588559
50.247265417225435,54.9993532702177,4.253097,3.733019,0,,5.1014905,5.1014905,0.0,-0.0249998591311707
50.498793696778904,54.9993532702177,4.361391,4.3706903,0,,5.0852985,5.07223,-0.07238531,-0.0054370391287051
50.75032197633237,54.9993532702177,4.2039237,3.596458,0,,4.99997,4.9869013,-0.05225563,0.001928184888999
51.001850255885834,54.9993532702177,3.708283,4.891418,0,,4.386994,4.386994,0.0,-0.0014868213601175
51.2533785354393,54.9993532702177,4.161856,3.6631944,0,,4.9897423,4.9344015,-0.07547045,0.0132045123888079
51.49592366215157,54.9993532702177,4.0373335,3.4768834,0,,4.9015164,4.9015164,0.0,0.0112216068896305
51.74745194170504,54.9993532702177,4.263977,3.1931317,0,,4.9778767,4.9778767,0.0,0.0039486263109268
51.998980221258506,54.9993532702177,3.7696755,4.5401907,0,,4.387718,4.3512697,-0.03644848,0.0043941433424276
52.25050850081197,54.9993532702177,3.7252328,3.2901711,0,,4.822622,4.822622,0.0,0.0177332634783992
52.50203678036544,54.9993532702177,3.997845,3.630669,0,,4.7216306,4.712502,-0.009128571,0.0060255494761518
52.753565059918905,54.9993532702177,3.6256037,4.7719426,0,,4.375891,4.375891,0.0,0.0034349952191464
52.99611018663117,54.9993532702177,3.9211133,3.5677254,0,,4.8602743,4.8717747,-0.1178875,-0.0025607273835071
53.24763846618464,54.9993532702177,4.0380874,3.739697,0,,4.635779,4.635779,0.0,0.000755100010188
53.49916674573811,54.9993532702177,3.83507,2.6438792,0,,4.5888257,4.5888257,0.0,-0.0007870906550487
53.75069502529157,54.9993532702177,3.9184952,3.5750277,0,,4.718028,4.718028,0.0,-0.0001619620508681
54.00222330484504,54.9993532702177,3.6550605,4.9577785,0,,4.423677,4.423677,0.0,0.0096614595408863
54.2537515843985,54.9993532702177,3.715329,2.8660662,0,,4.861684,4.861684,0.0,-9.652297065867533e-05
54.49629671111077,54.9993532702177,4.06376,3.4647748,0,,5.1381507,5.08623,-0.05192089,-0.0015013272484057
54.74782499066424,54.9993532702177,3.9957962,3.586993,0,,4.765264,4.765264,0.0,0.0136811416809291
54.9993532702177,54.9993532702177,4.006986,3.6364043,0,,4.586746,4.586746,0.0,0.0070670894954494
55.25088154977117,54.9993532702177,3.955704,5.149102,0,,4.346899,4.346899,0.0,0.0104908626739702
55.50240982932464,54.9993532702177,4.190676,3.6459222,0,,4.735636,4.735636,0.0,0.012367018300279
55.7539381088781,54.9993532702177,4.4204707,3.638818,0,,4.65818,4.632233,-0.012043476,0.0020018676871276
55.996483235590375,54.9993532702177,3.7603788,4.0236974,0,,4.520743,4.529158,-0.008747101,0.0051500835462333
56.24801151514384,54.9993532702177,4.0294833,,0,,4.877882,4.877882,-0.02494812,0.0001989338436168
56.499539794697306,54.9993532702177,4.324795,2.9473672,0,,4.8641047,4.8641047,0.0,0.0015651721430565
56.751068074250774,54.9993532702177,3.749851,4.4463234,0,,4.323939,4.323939,0.0,-0.0041837861390626
57.00259635380424,54.9993532702177,3.9350417,,0,,4.749815,4.749815,0.0,-0.0014510891257484
57.254124633357705,54.9993532702177,3.7730062,3.018143,0,,5.001533,5.001533,0.0,0.0103171744663061
57.49666976006998,54.9993532702177,3.2326715,4.8538847,0,,4.0136843,4.0102415,-0.0034427643,-0.0142847365045449
57.74819803962344,54.9993532702177,3.6056912,4.6585245,0,,4.0471835,4.0471835,-0.009128571,-0.0132576325392574
57.99972631917691,54.9993532702177,4.1391625,3.7284617,0,,4.4325676,4.374428,-0.093859196,-0.0045625326016967
58.25125459873038,54.9993532702177,3.8700955,3.1949165,0,,4.473959,4.4091587,-0.14440966,-0.007854916683872
58.50278287828384,54.9993532702177,4.0334277,5.1327486,0,,4.2402744,4.1991105,-0.00574255,-0.0078305903506783
58.75431115783731,54.9993532702177,3.08455,4.562569,0,,3.2813056,3.2696297,0.032025814,-0.0108114276379694
58.99685628454958,54.9993532702177,3.2165473,3.426541,0,,3.4987092,3.50778,0.12072015,-0.0206048133989763
59.24838456410304,54.9993532702177,2.9375987,3.6485996,0,,3.3677738,3.3677738,-0.030384064,-0.0111237333350112
59.49991284365651,54.9993532702177,3.0351114,4.51177,0,,2.8944802,2.8405952,-0.014700413,-0.0100235224315718
59.75144112320997,54.9993532702177,3.4881926,3.941705,0,,3.1479259,3.049323,-0.115377665,-0.0261234707908695
60.00296940276344,54.9993532702177,3.476411,3.1571896,0,,3.2491398,3.2491398,-0.027627468,-0.0083989805160439
60.24551452947571,54.9993532702177,3.6647565,3.2627616,0,,3.46571,3.411328,-0.10348773,-0.0037368759683383
60.497042809029175,54.9993532702177,4.0231676,3.2714539,0,,4.314449,4.279444,-0.035004616,0.0131274251697819
60.74857108858264,54.9993532702177,3.9828725,4.0508986,0,,4.114089,4.114089,-0.028325558,-0.0024184547790911
61.00009936813611,54.9993532702177,4.48143,5.338918,0,,4.6429634,4.563886,-0.116333485,0.0015074808482998
61.251627647689574,54.9993532702177,4.0962043,5.366798,0,,4.1371264,4.0427427,-0.13026905,0.0067750769294389
61.50315592724304,54.9993532702177,4.166441,3.7033865,0,,4.4960885,4.498891,-0.032111168,0.0022918932497937
61.745701053955315,54.9993532702177,4.254055,2.91334,0,,5.0585656,5.0585656,0.0,-0.0022291989839298
61.99722933350878,54.9993532702177,4.567856,2.9496846,0,,5.325284,5.325284,-0.025947094,0.0332337593323022
62.248757613062246,54.9993532702177,4.488833,2.8299296,0,,4.671144,4.6739464,-0.03392601,0.0008888713827979
